year,industry1,industry2,industry3,employment_change
1991,others,others,others,-0.1
1991,construction,construction,construction,17.7
1991,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
1991,manufacturing,textile and wearing apparel,textile and wearing apparel,-2.4
1991,manufacturing,paper products and publishing,paper products and publishing,0.8
1991,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",1.3
1991,manufacturing,fabricated metal products,fabricated metal products,0.1
1991,manufacturing,machinery and equipment,machinery and equipment,1.2
1991,manufacturing,electrical products,electrical products,-0.6
1991,manufacturing,electronic products,electronic products,-5.5
1991,manufacturing,medical and precision instruments,medical and precision instruments,-0.3
1991,manufacturing,transport equipment,transport equipment,7.3
1991,manufacturing,other manufacturing industries,other manufacturing industries,-0.7
1991,services,wholesale and retail trade,wholesale trade,8
1991,services,wholesale and retail trade,retail trade,0.7
1991,services,financial services,financial institutions,1.2
1991,services,financial services,insurance,0.3
1991,services,business and real estate services,business and real estate services,4.1
1991,services,"community, social and personal services",public administration and education,1.2
1991,services,"community, social and personal services",health and social work,0.3
1991,services,"community, social and personal services","other community, social and personal services",15.2
1992,others,others,others,2.9
1992,construction,construction,construction,11.3
1992,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4
1992,manufacturing,textile and wearing apparel,textile and wearing apparel,-3.8
1992,manufacturing,paper products and publishing,paper products and publishing,-0.3
1992,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",1.1
1992,manufacturing,fabricated metal products,fabricated metal products,-1.4
1992,manufacturing,machinery and equipment,machinery and equipment,1.5
1992,manufacturing,electrical products,electrical products,-1
1992,manufacturing,electronic products,electronic products,0.7
1992,manufacturing,medical and precision instruments,medical and precision instruments,-0.5
1992,manufacturing,transport equipment,transport equipment,-5.7
1992,manufacturing,other manufacturing industries,other manufacturing industries,0.9
1992,services,wholesale and retail trade,wholesale trade,5.7
1992,services,wholesale and retail trade,retail trade,2.4
1992,services,financial services,financial institutions,1
1992,services,financial services,insurance,0.8
1992,services,business and real estate services,business and real estate services,6.5
1992,services,"community, social and personal services",public administration and education,1.5
1992,services,"community, social and personal services",health and social work,3.3
1992,services,"community, social and personal services","other community, social and personal services",5.6
1993,others,others,others,0.2
1993,construction,construction,construction,26.4
1993,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.6
1993,manufacturing,textile and wearing apparel,textile and wearing apparel,-4.4
1993,manufacturing,paper products and publishing,paper products and publishing,0.6
